timestamp,location,price,last4ccnum,link,loyaltynum,day,hour
2014-01-06 07:28:00,Brew've Been Served,11.34,4795,both,L8566,2014-01-06,07:28:00
2014-01-06 07:34:00,Hallowed Grounds,52.22,7108,credit,L6544,2014-01-06,07:34:00
2014-01-06 07:35:00,Brew've Been Served,8.33,6816,both,L8148,2014-01-06,07:35:00
2014-01-06 07:36:00,Hallowed Grounds,16.72,9617,both,L5553,2014-01-06,07:36:00
2014-01-06 07:37:00,Brew've Been Served,4.24,7384,both,L3800,2014-01-06,07:37:00
2014-01-06 07:38:00,Brew've Been Served,4.17,5368,both,L2247,2014-01-06,07:38:00
2014-01-06 07:42:00,Coffee Cameleon,28.73,7253,credit,L1682,2014-01-06,07:42:00
2014-01-06 07:43:00,Brew've Been Served,9.6,4948,both,L9406,2014-01-06,07:43:00
2014-01-06 07:43:00,Brew've Been Served,16.9,9683,both,L7291,2014-01-06,07:43:00
2014-01-06 07:47:00,Hallowed Grounds,16.53,8129,both,L8328,2014-01-06,07:47:00
2014-01-06 07:48:00,Hallowed Grounds,10.66,3492,both,L7814,2014-01-06,07:48:00
2014-01-06 07:49:00,Coffee Cameleon,8.39,5921,both,L3295,2014-01-06,07:49:00
2014-01-06 07:52:00,Brew've Been Served,32.83,9405,credit,L3259,2014-01-06,07:52:00
2014-01-06 07:54:00,Hallowed Grounds,16.88,7889,credit,L6119,2014-01-06,07:54:00
2014-01-06 07:54:00,Coffee Cameleon,11.86,2142,both,L9637,2014-01-06,07:54:00
2014-01-06 07:54:00,Hallowed Grounds,32.93,2681,credit,L1107,2014-01-06,07:54:00
2014-01-06 07:55:00,Hallowed Grounds,8.05,9551,both,L5777,2014-01-06,07:55:00
2014-01-06 07:55:00,Brew've Been Served,3.67,3484,both,L2490,2014-01-06,07:55:00
2014-01-06 07:59:00,Brew've Been Served,8.88,7819,both,L5259,2014-01-06,07:59:00
2014-01-06 08:00:00,Brew've Been Served,4.27,5407,both,L4034,2014-01-06,08:00:00
2014-01-06 08:00:00,Hallowed Grounds,9.69,6899,credit,L6267,2014-01-06,08:00:00
2014-01-06 08:01:00,Hallowed Grounds,10.07,1874,both,L4424,2014-01-06,08:01:00
2014-01-06 08:06:00,Brew've Been Served,18.24,3853,both,L1485,2014-01-06,08:06:00
2014-01-06 08:06:00,Brew've Been Served,15.58,4434,both,L2169,2014-01-06,08:06:00
2014-01-06 08:07:00,Brew've Been Served,5.66,6901,both,L9363,2014-01-06,08:07:00
2014-01-06 08:14:00,Coffee Cameleon,3.2,2418,credit,L9018,2014-01-06,08:14:00
