location,lat,long
Abila Airport,36.050969835,24.825931275
U-Pump,36.06774866000001,24.87149411
Brew've Been Served,36.054035845,24.901202945
Kalami Kafenion,36.06583318,24.852373035
Katerina�s Caf�,36.054455715,24.89992967
Guy's Gyros,36.055821305,24.902547795
Gelatogalore,36.059754535,24.85799648999998
Abila Zacharo,36.063474475,24.851022675000007
Ouzeri Elian,36.051949135,24.870791035
Albert's Fine Clothing,36.075254835,24.856285625
Frydos Autosupply n' More,36.054957035,24.90179316
Kronos Pipe and Irrigation,36.065317755,24.83316992
Maximum Iron and Steel,36.064047035,24.84140435000002
Carlyle Chemical Inc.,36.05854638,24.880893345
Stewart and Sons Fabrication,36.054174625,24.908116145
Nationwide Refinery,36.05844393,24.88549086
Abila Scrapyard,36.07438993,24.845948915
Frank's Fuel,36.07216211,24.84133855
Hippokampos,36.076640999999995,24.857599
Shoppers' Delight,36.05285922500001,24.868597705
Hallowed Grounds,36.063658185,24.885897815
Daily Dealz,36.06644339,24.88264199
General Grocer,36.06033762,24.85653086
Octavio's Office Supplies,36.05856317,24.857921935
Ahaggo Museum,36.07714712,24.87619283
Chostus Hotel,36.0706817,24.895260595
Bean There Done That,36.081803,24.85095648
Coffee Shack,36.073331815,24.86418693
Brewed Awakenings,36.07333685,24.86417176
Coffee Cameleon,36.05467411,24.889794995
Desafio Golf Course,36.0895915,24.860744415
GAStech,36.048021999999996,24.879522
Jack's Magical Beans,36.067529035,24.87335874
Roberts and Sons,36.063299425,24.85228613
